Provider,Product,Version,EOS Date,Reference
IBM,IBM Security QRadar QFlow Collector 1301,7.1.x,2019-09-30,https://www-01.ibm.com/software/support/lifecycleapp/PLCSearch.wss?q=IBM+Security+QRadar+QFlow+Collector+1301&ibm-search=Search
IBM,IBM Security QRadar QFlow Collector 1310 LR,7.2.x,2019-09-30,https://www-01.ibm.com/software/support/lifecycleapp/PLCSearch.wss?q=IBM+Security+QRadar+QFlow+Collector+1310+LR&ibm-search=Search
IBM,IBM Security QRadar QFlow Collector 1310 LR,7.1.x,2019-09-30,https://www-01.ibm.com/software/support/lifecycleapp/PLCSearch.wss?q=IBM+Security+QRadar+QFlow+Collector+1310+LR&ibm-search=Search
IBM,IBM Security QRadar QFlow Collector 1310-SR,7.2.x,2019-09-30,https://www-01.ibm.com/software/support/lifecycleapp/PLCSearch.wss?q=IBM+Security+QRadar+QFlow+Collector+1310-SR&ibm-search=Search
IBM,IBM Security QRadar QFlow Collector 1310-SR,7.1.x,2019-09-30,https://www-01.ibm.com/software/support/lifecycleapp/PLCSearch.wss?q=IBM+Security+QRadar+QFlow+Collector+1310-SR&ibm-search=Search
IBM,IBM Security Web Gateway Appliance,7.0.x,2019-09-30,https://www-01.ibm.com/software/support/lifecycleapp/PLCSearch.wss?q=IBM+Security+Web+Gateway+Appliance&ibm-search=Search
IBM,Platform Application Service Controller,1.1.0,2020-09-30,https://www-01.ibm.com/software/support/lifecycleapp/PLCSearch.wss?q=Platform+Application+Service+Controller&ibm-search=Search
IBM,PureData System for Transactions,1.0.0,2019-09-30,https://www-01.ibm.com/software/support/lifecycleapp/PLCSearch.wss?q=PureData+System+for+Transactions&ibm-search=Search
IBM,Rational Focal Point,6.6.x,2021-06-30,https://www-01.ibm.com/software/support/lifecycleapp/PLCSearch.wss?q=Rational+Focal+Point&ibm-search=Search
IBM,Rational Focal Point,6.5.x,2021-06-30,https://www-01.ibm.com/software/support/lifecycleapp/PLCSearch.wss?q=Rational+Focal+Point&ibm-search=Search
IBM,Rational Purify for Linux and UNIX,7.0.x,2021-06-30,https://www-01.ibm.com/software/support/lifecycleapp/PLCSearch.wss?q=Rational+Purify+for+Linux+and+UNIX&ibm-search=Search
IBM,Rational Purify for Windows,7.0.x,2021-06-30,https://www-01.ibm.com/software/support/lifecycleapp/PLCSearch.wss?q=Rational+Purify+for+Windows&ibm-search=Search
IBM,Rational PurifyPlus Enterprise Edition,7.0.x,2021-06-30,https://www-01.ibm.com/software/support/lifecycleapp/PLCSearch.wss?q=Rational+PurifyPlus+Enterprise+Edition&ibm-search=Search
IBM,Rational PurifyPlus for Linux and UNIX,7.0.x,2021-06-30,https://www-01.ibm.com/software/support/lifecycleapp/PLCSearch.wss?q=Rational+PurifyPlus+for+Linux+and+UNIX&ibm-search=Search
